[2026-06-09 23:43:49,612][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,643][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,666][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,686][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,705][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,725][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,744][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,771][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,797][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,819][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,844][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,874][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,900][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,919][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,945][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,982][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:50,005][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:50,027][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:50,043][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:52,151][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:58,333][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:58,333][INFO]: Initializing Proton prefix app_id=-1069797399 user_id=892854676 proton=GE-Proton10-25 reinit=False
[2026-06-09 23:43:58,336][INFO]: Updated compat.vdf for app_id=-1069797399 user_id=892854676
[2026-06-09 23:43:58,380][INFO]: Updated local config for user=892854676 app=-1069797399
[2026-06-09 23:43:58,423][INFO]: Updated global config for app 3225169897 proton=GE-Proton10-25
[2026-06-09 23:43:58,423][INFO]: Set Proton version for app_id=-1069797399 unsigned=3225169897 to GE-Proton10-25 (user=892854676)
[2026-06-09 23:44:00,015][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:44:00,015][INFO]: Initializing Proton prefix app_id=-1069797399 user_id=892854676 proton=GE-Proton10-25 reinit=True
[2026-06-09 23:44:00,016][INFO]: Updated compat.vdf for app_id=-1069797399 user_id=892854676
[2026-06-09 23:44:00,060][INFO]: Updated local config for user=892854676 app=-1069797399
[2026-06-09 23:44:00,105][INFO]: Updated global config for app 3225169897 proton=GE-Proton10-25
